type,total,current,expired,unknown,not_yet_valid,current_share_%,expired_share_%,unknown_share_%,not_yet_valid_share_%
ops,177,177,0,0,0,100.0,0.0,0.0,0.0
sols,181,181,0,0,0,100.0,0.0,0.0,0.0
