type,total,current,expired,unknown,not_yet_valid,current_share_%,expired_share_%,unknown_share_%,not_yet_valid_share_%
ops,3678,3678,0,0,0,100.0,0.0,0.0,0.0
sols,3904,3904,0,0,0,100.0,0.0,0.0,0.0
