id,name,lat,lon,osm_elements,error,min_distance_m,within_threshold,osm_type_compatible
HR71406,Rokovci,45.2413,18.7316,4,,5.0,True,True
HR71406,Rokovci,45.2413,18.7316,4,,5.0,True,True
HR71452,Vukovar,45.3624,18.9868,17,,4.7,True,True
HR71452,Vukovar,45.3624,18.9868,17,,4.7,True,True
HR71501,Ostrovo,45.3357,18.7775,5,,2.9,True,True
HR71501,Ostrovo,45.3357,18.7775,5,,2.9,True,True
HR71502,Gaboš,45.354,18.7432,3,,3.9,True,True
HR71503,Markušica-Antin,45.3814,18.7336,4,,40.2,True,True
HR71503,Markušica-Antin,45.3814,18.7336,4,,40.2,True,True
HR71504,Laslovo-Korođ,45.4145,18.7073,6,,21.0,True,True
HR71504,Laslovo-Korođ,45.4145,18.7073,6,,21.0,True,True
HR71505,Ernestinovo,45.4451,18.6676,4,,0.2,True,True
HR71506,Antunovac,45.4836,18.6701,3,,11.9,True,True
HR71507,Brijest,45.517,18.6721,7,,5.4,True,True
HR71601,Bijelo Brdo,45.5131,18.859,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
HR71602,Sarvaš,45.5208,18.8344,9,,12.1,True,True
HR71602,Sarvaš,45.5208,18.8344,9,,12.1,True,True
HR71603,Osijek Donji grad,45.5522,18.7213,22,,2.8,True,True
HR71603,Osijek Donji grad,45.5522,18.7213,22,,2.8,True,True
HR71604,Nemetin,45.5342,18.7785,5,,71.3,True,True
HR71604,Nemetin,45.5342,18.7785,5,,71.3,True,True
HR71605,Osijek OLT,45.5541,18.7055,6,,6.2,True,True
HR71605,Osijek OLT,45.5541,18.7055,6,,6.2,True,True
HR71606,Standard,45.5453,18.7421,9,,8.5,True,True
HR71606,Standard,45.5453,18.7421,9,,8.5,True,True
HR71607,Osijek Luka,45.5366,18.7677,6,,2.4,True,True
HR71607,Osijek Luka,45.5366,18.7677,6,,2.4,True,True
HR71701,Osijek Dravski Most,45.5588,18.7036,25,,10.5,True,True
HR71701,Osijek Dravski Most,45.5588,18.7036,25,,10.5,True,True
HR71703,Darda,45.6339,18.6993,7,,7.4,True,True
HR71704,Čeminac,45.6859,18.6554,4,,24.9,True,True
HR71705,Beli Manastir,45.7657,18.5961,21,,5.1,True,True
HR71790,Belišće,45.6823,18.4211,6,,175.5,False,True
HR71791,Ladimirevci,45.6241,18.4601,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
HR71791,Ladimirevci,45.6241,18.4601,5,,7.9,True,True
HR71802,Čepin,45.5206,18.5779,4,,2.1,True,True
HR71803,Vladislavci,45.4755,18.5587,9,,1.1,True,True
HR71803,Vladislavci,45.4755,18.5587,9,,1.1,True,True
HR71804,Dopsin,45.4631,18.5503,2,,1.4,True,True
HR71805,Hrastovac-Vučki,45.4432,18.5399,2,,10.3,True,True
HR71807,Viškovci,45.3464,18.4265,4,,6.7,True,True
HR71807,Viškovci,45.3464,18.4265,4,,6.7,True,True
HR71808,Đakovo,45.3136,18.4218,14,,7.9,True,True
HR71809,Budrovci,45.261,18.4207,4,,9.5,True,True
HR71810,Lipovac-Koritna,45.4215,18.5237,4,,2.8,True,True
HR71810,Lipovac-Koritna,45.4215,18.5237,4,,2.8,True,True
HR71901,Josipovac,45.5742,18.5901,14,,1.1,True,True
HR71902,Samatovci,45.5908,18.5026,4,,11.3,True,True
HR71902,Samatovci,45.5908,18.5026,4,,11.3,True,True
HR71903,Bizovac,45.5871,18.453,11,,6.5,True,True
HR71904,Cret,45.5735,18.4098,5,,11.3,True,True
HR71905,Normanci,45.5573,18.3665,4,,1.7,True,True
HR71905,Normanci,45.5573,18.3665,4,,1.7,True,True
HR71906,Koška,45.5415,18.2954,10,,2.8,True,True
HR71906,Koška,45.5415,18.2954,10,,2.8,True,True
HR71907,Niza,45.5428,18.2346,4,,3.0,True,True
HR71907,Niza,45.5428,18.2346,4,,3.0,True,True
HR71908,Našička Breznica,45.5315,18.1907,3,,18.9,True,True
HR71908,Našička Breznica,45.5315,18.1907,3,,18.9,True,True
HR71909,Jelisavac,45.5234,18.1548,5,,10.6,True,True
HR71910,Višnjevac,45.5614,18.6198,4,,4.8,True,True
HR71910,Višnjevac,45.5614,18.6198,4,,4.8,True,True
HR71911,Višnjevac IPK,45.5664,18.6066,5,,2.7,True,True
HR71911,Višnjevac IPK,45.5664,18.6066,5,,2.7,True,True
HR71912,Frigis,45.5584,18.6357,5,,9.0,True,True
HR71913,Petrove Gore,45.5557,18.6505,3,,3.6,True,True
HR71913,Petrove Gore,45.5557,18.6505,3,,3.6,True,True
HR71914,Vodovod,45.5524,18.6682,6,,3.8,True,True
HR71914,Vodovod,45.5524,18.6682,6,,3.8,True,True
HR71922,Valpovo,45.6616,18.4252,5,,31.7,True,True
HR71922,Valpovo,45.6616,18.4252,5,,31.7,True,True
HR71960,Osijek,45.5527,18.6834,51,,4.6,True,True
HR71960,Osijek,45.5527,18.6834,51,,4.6,True,True
HR72001,Jasenovac,45.2761,16.9106,10,,2.2,True,True
HR72002,Višnjica,45.2565,16.8803,7,,6.6,True,True
HR72002,Višnjica,45.2565,16.8803,7,,6.6,True,True
HR72003,Hrvatska Dubica,45.2217,16.8062,7,,4.2,True,True
HR72004,Živaja,45.247,16.7276,6,,4.1,True,True
HR72004,Živaja,45.247,16.7276,6,,4.1,True,True
HR72005,Šaš,45.285,16.6684,6,,5.3,True,True
HR72005,Šaš,45.285,16.6684,6,,5.3,True,True
HR72006,Papići,45.3079,16.6345,3,,6.7,True,True
HR72006,Papići,45.3079,16.6345,3,,6.7,True,True
HR72007,Staza,45.3286,16.6037,3,,4.5,True,True
HR72007,Staza,45.3286,16.6037,3,,4.5,True,True
HR72008,Cerovljani,45.2226,16.773,4,,5.1,True,True
HR72060,Sunja,45.3555,16.5505,22,,1.8,True,True
HR72060,Sunja,45.3555,16.5505,22,,1.8,True,True
HR72101,Brđani Krajiški,45.383,16.4946,3,,30.2,True,True
HR72102,Blinjski Kut,45.4158,16.4577,6,,9.1,True,True
HR72103,Sisak Caprag,45.4581,16.3905,26,,4.3,True,True
HR72103,Sisak Caprag,45.4581,16.3905,26,,4.3,True,True
HR72201,Hrastovac,45.3115,16.5465,7,,7.5,True,True
HR72202,Graboštani,45.2805,16.5415,5,,6.4,True,True
HR72203,Majur,45.2574,16.528,8,,3.6,True,True
HR72203,Majur,45.2574,16.528,8,,3.6,True,True
HR72204,Hrvatska Kostajnica,45.2353,16.5274,4,,8.8,True,True
HR72205,Volinja,45.2024,16.4861,11,,6.7,True,True
HR72205,Volinja,45.2024,16.4861,11,,6.7,True,True
HR72209,Kumrovec,46.0763,15.6582,2,,30.0,True,True
HR72209,Kumrovec,46.0763,15.6582,2,,30.0,True,True
HR72301,Zagreb Resnik,45.8101,16.0679,8,,15.9,True,True
HR72301,Zagreb Resnik,45.8101,16.0679,8,,15.9,True,True
HR72302,Zagreb Žitnjak,45.7735,16.048,6,,10.6,True,True
HR72302,Zagreb Žitnjak,45.7735,16.048,6,,10.6,True,True
HR72303,Zagreb RK OS,45.7541,16.0276,23,,21.0,True,True
HR72303,Zagreb RK OS,45.7541,16.0276,23,,21.0,True,True
HR72304,Zagreb Rk PS (sredina),45.7574,15.9969,19,,26.6,True,True
HR72304,Zagreb Rk PS (sredina),45.7574,15.9969,19,,26.6,True,True
