type,total,current,expired,unknown,not_yet_valid,current_share_%,expired_share_%,unknown_share_%,not_yet_valid_share_%
ops,2638,2581,0,57,0,97.84,0.0,2.16,0.0
sols,2830,2777,0,53,0,98.13,0.0,1.87,0.0
