type,total,current,expired,unknown,not_yet_valid,current_share_%,expired_share_%,unknown_share_%,not_yet_valid_share_%
ops,4432,3851,77,504,0,86.89,1.74,11.37,0.0
sols,9851,9851,0,0,0,100.0,0.0,0.0,0.0
