id,name,lat,lon,uri,country,distance_to_border_m
PL00679,Hel,54.611068,18.80094,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/015ba942595554921e7c86e2f0d931649381321f,http://publications.europa.eu/resource/authority/country/POL,16993.44
PL04171,Zasieki,51.735492,14.669268,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4900f2cb6737aa6c0bb4907c0058e026b44cfe6b,http://publications.europa.eu/resource/authority/country/POL,1055.8
PL00832,Tolkmicko,54.321755,19.523029,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4aaf6f3af50d626f6d5179930248011b6bdaa998,http://publications.europa.eu/resource/authority/country/POL,1211.91
PL08254,Andrzejówka,49.3383,20.823571,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/514dd7f4b1f869420ff8aa18ca4783ffd7cf5e2d,http://publications.europa.eu/resource/authority/country/POL,585.87
PL00677,Jastarnia,54.701205,18.677532,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a52c2d9a8c7469f1a37dd68815134002ac08aef2,http://publications.europa.eu/resource/authority/country/POL,13739.72
PL00673,Chałupy,54.761443,18.502985,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1559167ce5ad2b90386a0e45f1ce1e3ec5a3b769,http://publications.europa.eu/resource/authority/country/POL,5993.08
PL00678,Jastarnia Wczasy,54.707883,18.655552,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2ca387e4abe9b425d432d9f5dce09ca0f72ec575,http://publications.europa.eu/resource/authority/country/POL,12437.48
PL08242,Leluchów,49.29864,20.925382,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/573f321961eda053a7ed252b956d4ec17e4336eb,http://publications.europa.eu/resource/authority/country/POL,1008.5
PL00831,Kadyny,54.297385,19.473319,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/61685cf8ba78fb35dcad55c8a5317ff0a242ec77,http://publications.europa.eu/resource/authority/country/POL,480.63
EU00056,Szczecin Gum/Gra(Gr),53.4174,14.3753,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0b0237053862c2462d4670ce4ce066a48071f2a6,http://publications.europa.eu/resource/authority/country/POL,168.74
