type,total,current,expired,unknown,not_yet_valid,current_share_%,expired_share_%,unknown_share_%,not_yet_valid_share_%
ops,322,322,0,0,0,100.0,0.0,0.0,0.0
sols,350,350,0,0,0,100.0,0.0,0.0,0.0
