id_1,name_1,uri_1,id_2,name_2,uri_2,distance_m
CH15163,Zürich HB Museumstrasse,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5d10c8c2e68a8c9ac10d14008aefcf9287c968f0,CH03000,Zürich HB,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dbd38984ddc23baa1a839cdecdeb8457227b09b3,45.7
CH19574,"Basel, Morgartenrg. (Vzw West)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/34690fa516cafb1a574f739a1153439fdb7fe0b3,CH19559,"Basel, Depot Allschwilerstr.",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/973ad1ed6bdf9aa7439fdd004a081b1a94c4c4c3,46.1
CH03129,Wallisellen,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/602260ab3150adbff19aa87478d929a30c43bc24,CH87655,"Wallisellen, Bahnhof",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5fea4c031106a6b0531511296063beb045368435,46.2
CH19510,"Zürich, Laubegg (Vzw)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2c28f2de85be40f2f9433e4153a395c2e9602d17,CH91245,"Zürich, Laubegg",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/56df17738564035cc8da853791a765b770f74c37,46.4
CH19574,"Basel, Morgartenrg. (Vzw West)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/34690fa516cafb1a574f739a1153439fdb7fe0b3,CH19573,"Basel, Morgartenring (Vzw Ost)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/38f5a151800ad29dcc731a6edc4240bec1c33fc8,46.5
CH19457,"Genève, Bel-Air Cité (bif)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3204eb3832878a26d79af0c357c01ceb53d9c697,CH19456,"Genève, Bel-Air (bif)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bb101363deda742da263edaeb0536ae8b2aeea6c,46.6
CH03010,Zürich Enge,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/71bacc34a7df01a89448efaf2480014af6482c9e,CH91058,"Zürich Enge, Bahnhof",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c51df4f0416e1e313cc0710eeb2ac62ca9aa2835,47.1
CH01030,Nyon,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9a87849666848fad35f10a91cbdfa67a14e29b69,CH19325,Nyon [gare souterraine],http://data.europa.eu/949/functionalInfrastructure/operationalPoints/82b4e72412493c310542fe50eb5e38dd8c469f95,47.4
CH16177,Ins [Gleis 11],http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9f8d95a8c58347f2f40f28a84b35a8dbd8e112da,CH04483,Ins,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fd6b7f62fd9cbe27d73d58ff970f1f73325c3bee,47.4
CH88767,"Basel, Ciba",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/68c6274e3918a0fb13656ae1d243cc9e56f809ac,CH19567,"Basel, Hauptwerkst. BVB (Vzw)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/45612c121dcb72d595c223d8ab64df69e249f3b4,47.5
CH19360,"Bern, Bahnhof (Vzw)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fc1d7cf3b7c437764fa4192e8b264e79a82d5952,CH76646,"Bern, Bahnhof",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/506d8a5c9fe188265c1a71b665c5a1e44e983a86,47.8
CH88553,"Zürich Flughafen, Fracht",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f4d05ba8496b1567f1f032b8eb94850974cd9ffe,CH19478,"Zürich Flughafen, Fracht (Wds)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/132bf11eaf524622b9ba573d0880e84754a17597,48.0
CH88776,"Basel, MParc",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0e1c8f0566c09621a0bc3b192710c5db69df085e,CH19560,"Basel, Depot Dreispitz",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/23715e09fc68282485c1512a03bdf042d10f4fb3,48.1
CH03004,Zürich Tiefenbrunnen,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/56bf5483df158673ae6f62be110bfbf55cc55b0d,CH76182,"Zürich Tiefenbrunnen, Bahnhof",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b94a97f52e180982902a798881c74d1bb3903d5b,48.5
CH03088,Zürich HB SZU,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/62e6914f42bfe18c741319a15925b54549884e28,CH16144,Zürich HB Löwenstrasse,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/10abe085399f41beafeb5bd2513a14dcf0d8ab22,49.5
