type,total,current,expired,unknown,not_yet_valid,current_share_%,expired_share_%,unknown_share_%,not_yet_valid_share_%
ops,114,0,0,114,0,0.0,0.0,100.0,0.0
sols,99,0,0,99,0,0.0,0.0,100.0,0.0
