id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
BEFEI,Eine,50.871008,3.623697,5,29.6,True,True,
BEFEK,Lebbeke,51.004606,4.134544,9,33.7,True,True,
BEFEM,Veltem,50.900519,4.633522,11,30.5,True,True,
BEFEO,Ronet,50.457735,4.828415,56,29.6,True,True,
BEFEOCL,Ronet-C.L.I.,50.454351,4.831716,64,7.3,True,True,
BEFEOF,Ronet-Formation,50.454759,4.822342,33,4.2,True,True,
BEFEOGR,Ronet-Gril R,50.45896,4.830374,33,1.7,True,True,
BEFEOPE,Ronet-P.E.,50.452732,4.823652,21,55.1,True,True,
BEFEQ,Clabecq,50.694783,4.213796,15,38.4,True,True,
BEFEQM,Clabecq-Marchandises,50.676242,4.221411,6,23.7,True,True,
BEFES,Essen,51.462736,4.451106,20,6.4,True,True,
BEFET,Herent,50.903528,4.672189,6,27.4,True,True,
BEFEV,Mévergnies-Attre,50.600333,3.833003,7,27.8,True,True,
BEFFA,Maffle,50.614031,3.800459,9,38.4,True,True,
BEFFC,Farciennes,50.429148,4.55265,9,3.8,True,True,
BEFFM,Familleureux,50.519364,4.211575,9,37.2,True,True,
BEFFV,Neufvilles,50.543597,4.010669,23,7.2,True,True,
BEFFVG,Neufvilles-Garage,50.546079,4.01532,14,21.4,True,True,
BEFFW,Flawinne,50.456244,4.8063,19,4.5,True,True,
BEFGA,Gavere-Asper,50.930558,3.638958,9,57.8,True,True,
BEFGB,Jabbeke,51.200168,3.093295,9,11.9,True,True,
BEFGDM,Gent-Dampoort,51.05665,3.740491,25,4.4,True,True,
BEFGE,Balegem-Zuid,50.900803,3.805767,8,20.4,True,True,
BEFGED,Balegem-Dorp,50.919953,3.7907,8,25.2,True,True,
BEFGH,Saint-Ghislain,50.442625,3.820092,99,7.6,True,True,
BEFGM,Galmaarden,50.743998,3.964938,9,17.7,True,True,
BEFGN,Buggenhout,51.016228,4.200575,9,28.8,True,True,
