type,total,current,expired,unknown,not_yet_valid,current_share_%,expired_share_%,unknown_share_%,not_yet_valid_share_%
ops,11095,10604,3,488,0,95.57,0.03,4.4,0.0
sols,12899,12888,10,1,0,99.91,0.08,0.01,0.0
