id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
PT17277,Autoeuropa,38.5879,-8.9886,14,12.6,True,True,
PT17509,Ramal Autoeuropa (Inserção),38.5879,-8.9985,13,32.9,True,True,
PT17657,Ramal Palmetal (Inserção),38.5874,-8.9998,10,42.8,True,True,
PT17665,Palmetal,38.586,-9.0029,5,20.7,True,True,
PT18002,Viana do Castelo,41.6952,-8.8314,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
PT18044,Areosa,41.7205,-8.8553,10,12.2,True,True,
PT18085,Carreço,41.7504,-8.8634,10,1.5,True,True,
PT18119,Afife,41.7754,-8.8615,9,5.7,True,True,
PT18150,Âncora Praia,41.8132,-8.8627,9,11.8,True,True,
PT18200,Moledo do Minho,41.848,-8.8643,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
PT18234,Senhora da Agonia,41.8697,-8.8434,9,3.9,True,True,
PT18242,Caminha,41.874,-8.8345,20,4.2,True,True,
PT18275,Seixas,41.8963,-8.8194,10,9.4,True,True,
PT18291,Esqueiro,41.9094,-8.7928,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
PT18325,Gondarém,41.92,-8.763,8,11.5,True,True,
PT18341,Vila Nova de Cerveira,41.936,-8.7483,18,3.5,True,True,
PT18416,Carvalha,41.9799,-8.7025,8,10.4,True,True,
PT18440,São Pedro da Torre,41.9936,-8.6664,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
PT19000,Ramal do Louriçal (Inserção),40.0148,-8.8148,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
PT19018,"PK 0,000 Ramal do Louriçal",40.0153,-8.8154,22,18.2,True,True,
PT19059,Ramal Celbi/Ramal Soporcel (Inserção),40.0463,-8.8634,6,14.0,True,True,
PT19067,Celbi,40.0489,-8.8735,2,46.0,True,True,
PT19075,Soporcel,40.0555,-8.8526,6,132.6,False,True,
PT21006,São Gemil,41.1971,-8.579,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
PT21048,São Mamede de Infesta,41.1903,-8.6134,19,3.2,True,True,
PT21071,Leça do Balio,41.2084,-8.6296,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
PT21097,Ramal Leça do Balio Petroqimica (Inserção),41.2166,-8.6377,5,15.6,True,True,
PT21147,Triagem de Leixões,41.1976,-8.681,29,33.5,True,True,
PT21154,Leixões,41.1901,-8.6848,24,11.3,True,True,
PT21170,Guifões,41.2149,-8.6589,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
PT21303,Desvio Oficinas Custoias (Inserção),41.2123,-8.6551,12,2.3,True,True,
PT21600,Desvio Oficinas Custóias,41.2141,-8.6598,51,8.9,True,True,
PT21709,Ramal Leça do Balio Petroquímica,41.2144,-8.6405,10,12.3,True,True,
PT22012,Ermesinde - B,41.2124,-8.5595,5,7.7,True,False,
PT22020,Ramal Lidador (Inserção - lado Ermesinde),41.209,-8.5708,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
PT22038,Ramal Lidador,41.207,-8.5745,3,71.4,True,True,
PT22301,Ramal Lidador (Inserção - lado S. Gemil),41.205,-8.5768,5,89.2,True,True,
