type,total,current,expired,unknown,not_yet_valid,current_share_%,expired_share_%,unknown_share_%,not_yet_valid_share_%
ops,188,0,0,188,0,0.0,0.0,100.0,0.0
sols,193,0,0,193,0,0.0,0.0,100.0,0.0
